fecha,carro,estado,online,mensaje
2026-05-29 12:59:18.827860,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:18.919605,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:24.051438,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:24.151011,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:29.443792,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:29.596721,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:34.706424,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:34.849379,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:39.979512,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:40.066834,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:45.186925,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:45.298390,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:50.429782,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:50.541354,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:55.674024,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 12:59:55.817476,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:01.007813,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:01.149327,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:06.286084,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:06.404522,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:11.501934,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:11.602029,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:16.724662,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:16.820193,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:22.093159,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:22.234438,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:27.360797,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:27.635565,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:32.757362,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:32.860207,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:38.025754,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:38.111885,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:43.266933,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:43.361601,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:48.524312,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:48.621043,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:53.763714,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:53.862939,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:58.989157,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:00:59.121670,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:04.252119,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:04.360301,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:09.495122,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:09.597172,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:14.715044,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:14.797182,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:19.942220,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:20.063729,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:25.189611,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:25.284954,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:30.394932,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:30.494394,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:35.607257,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:35.692626,2,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:40.804939,1,OFFLINE,False,没有查询到穿梭板信息
2026-05-29 13:01:40.924490,2,OFFLINE,False,没有查询到穿梭板信息
